Sample No.,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,H2OC,Total
D95-10,54.8,0.9,17.3,2.8,5.2,0.1,3.9,6.3,3.8,2.4,0.4,0.1,1.6,99.6
D95-11,49.9,1.3,15.6,2.4,6.7,0.2,7.7,8.3,3.0,2.2,0.5,0.1,1.8,99.6
D95-12,53.9,0.8,12.1,1.7,4.9,0.1,9.4,6.4,1.4,6.1,0.8,0.1,1.8,99.4
D95-13,73.4,0.2,13.8,0.5,1.0,0.0,0.5,1.2,3.2,5.1,0.1,0.1,0.7,99.8
D95-16,60.7,0.9,16.9,2.4,3.4,0.1,2.2,4.5,3.9,3.1,0.4,0.1,1.1,99.6
D95-19,56.5,0.9,14.8,2.0,5.0,0.2,6.8,5.6,3.5,2.5,0.4,0.1,1.6,99.7
D95-2,48.3,1.0,15.0,3.1,6.4,0.2,8.2,11.3,3.1,0.8,0.9,0.1,1.4,99.6
D95-22,71.0,0.5,13.9,1.5,1.7,0.1,1.0,3.2,3.9,1.4,0.2,0.2,1.2,99.8
D95-24,52.4,1.3,15.3,1.6,10.3,0.2,6.1,8.5,2.9,0.2,0.2,0.1,0.8,99.8
D95-25,48.1,0.8,19.3,0.9,8.3,0.2,8.5,10.8,2.0,0.1,0.1,0.1,0.7,99.8
D95-26,56.0,1.2,16.2,2.1,6.7,0.2,4.3,6.4,3.8,1.3,0.4,0.0,1.2,99.8
D95-27,39.9,0.5,6.8,4.3,10.6,0.2,30.3,3.6,0.5,0.0,0.1,0.2,2.6,99.4
D95-3,49.3,0.4,3.7,2.9,6.3,0.2,19.3,14.5,0.5,0.3,0.1,0.9,1.4,99.6
D95-32,50.0,1.2,16.6,3.6,8.5,0.2,6.1,9.8,2.4,0.2,0.3,0.0,0.9,99.8
D95-35,34.7,4.9,12.3,7.1,12.9,0.2,7.0,9.7,1.2,0.7,2.5,1.6,5.3,99.9
D95-38,39.5,4.6,12.5,4.9,14.8,0.3,5.1,11.1,2.0,0.2,2.8,0.9,1.2,99.9
D95-39,64.7,0.9,14.0,2.2,3.6,0.1,2.7,4.1,3.4,1.6,0.3,0.6,1.6,99.8
D95-4,45.4,2.0,16.5,3.6,7.9,0.1,8.1,10.0,2.4,1.2,0.1,0.3,2.1,99.8
D95-40,42.9,3.2,13.4,1.7,12.7,0.3,5.8,12.8,0.4,0.3,1.3,4.5,0.8,99.9
D95-44,68.7,0.4,15.1,1.1,2.1,0.1,1.8,3.6,4.4,1.4,0.1,0.2,1.1,99.9
D95-6,46.0,1.9,17.1,3.3,7.8,0.2,6.6,8.4,3.0,2.4,0.7,0.3,2.0,99.7
D95-7,65.7,0.8,15.1,2.4,2.8,0.1,2.0,4.4,4.1,1.5,0.2,0.1,0.6,99.8
D95-9,90.7,0.2,3.4,0.3,0.6,0.0,0.6,1.0,1.2,0.3,0.1,0.6,0.8,99.9
FH7,8.2,0.2,1.2,0.1,0.6,0.6,12.5,37.5,0.1,0.1,0.4,37.3,0.5,99.3
HL3,47.9,2.6,13.1,3.8,13.3,0.3,5.9,9.1,2.2,0.4,0.4,0.1,0.8,99.8
HL9,48.4,2.4,12.9,2.2,13.5,0.2,5.1,9.8,2.5,0.5,0.4,1.3,0.6,99.8
HT1,63.5,0.6,13.2,0.6,7.2,0.1,6.9,1.7,2.3,2.1,0.1,0.2,1.2,99.7
HT4,61.8,0.6,16.3,2.1,3.5,0.1,3.2,5.1,3.9,1.7,0.2,0.2,1.3,99.8
HT6,48.1,1.3,15.7,2.8,7.6,0.2,8.1,9.0,2.9,2.0,0.1,0.3,1.7,99.9
TC3,57.9,0.5,5.7,19.5,9.5,0.1,0.8,1.2,0.9,2.6,0.1,0.1,0.7,99.3
